0,	58,36
1,	82,26
2,	29,33
3,	20,12
4,	25,32
5,	28,91
6,	121,140
7,	114,72
8,	67,11
9,	63,21
10,	124,81
11,	90,35
12,	28,71
13,	-1,-1
14,	16,49
15,	32,93
16,	15,34
17,	17,124
18,	-1,-1
19,	117,12
20,	38,19
21,	41,52
22,	110,26
23,	50,10
24,	106,78
25,	23,130
26,	24,22
27,	98,109
28,	85,24
29,	26,47
30,	58,121
31,	32,60
32,	90,30
33,	31,72
34,	43,98
35,	128,41
36,	55,34
37,	73,32
38,	102,41
39,	132,17
40,	20,53
41,	113,88
42,	37,11
43,	97,112
44,	40,42
45,	102,100
46,	97,94
47,	27,20
48,	120,20
49,	15,38
50,	89,111
51,	19,33
52,	108,49
53,	28,20
54,	44,60
55,	21,30
56,	129,76
57,	66,23
58,	17,61
59,	8,24
60,	27,83
61,	116,49
62,	23,99
63,	124,20
64,	38,106
65,	29,88
66,	53,110
67,	112,104
68,	19,88
69,	103,14
70,	121,71
71,	17,44
72,	59,15
73,	121,10
74,	111,124
75,	120,8
76,	96,45
77,	101,91
78,	81,11
79,	118,74
80,	76,108
81,	117,128
82,	51,116
83,	63,17
84,	59,118
85,	119,106
86,	60,12
87,	117,112
88,	22,31
89,	42,49
90,	64,121
91,	108,64
92,	32,16
93,	33,85
94,	17,61
95,	47,138
96,	22,76
97,	65,42
98,	104,85
99,	122,85
100,	77,36
101,	65,100
102,	92,18
103,	28,67
104,	101,82
105,	54,106
106,	36,38
107,	40,85
108,	30,60
109,	128,95
110,	29,4
111,	35,151
112,	57,32
113,	43,52
114,	135,64
115,	118,123
116,	29,71
117,	116,28
118,	66,41
119,	51,30
120,	53,36
121,	95,84
122,	63,105
123,	24,103
124,	91,41
125,	106,117
126,	38,85
127,	15,89
128,	35,110
129,	11,72
130,	56,108
131,	107,83
132,	95,112
133,	57,115
134,	128,40
135,	46,58
136,	22,59
137,	43,67
138,	39,48
139,	127,82
140,	88,102
141,	42,112
142,	22,94
143,	112,101
144,	35,59
145,	105,113
146,	55,113
147,	68,15
148,	57,117
149,	73,27
150,	30,129
151,	39,104
152,	43,79
153,	
154,	116,106
155,	129,37
156,	122,77
157,	124,70
158,	114,85
159,	29,126
160,	112,65
161,	71,95
162,	28,59
163,	106,90
164,	38,47
165,	117,77
166,	115,77
167,	
168,	86,36
169,	143,119
170,	
171,	103,116
172,	96,42
173,	119,123
174,	99,108
175,	117,122
176,	105,114
177,	105,52
178,	107,56
179,	82,45
180,	
181,	38,58
182,	23,89
183,	75,29
184,	123,69
185,	64,125
186,	
187,	116,57
188,	68,112
189,	130,43
190,	82,115
191,	37,83
192,	101,125
193,	121,55
194,	53,31
195,	49,34
196,	
197,	17,100
198,	46,96
199,	117,64
200,	32,35
201,	120,98
202,	83,18
203,	42,31
204,	121,119
205,	91,38
206,	121,81
207,	98,116
208,	29,54
209,	119,88
